Fecha,Tienda,Producto,Cantidad,Venta_Unitaria,Region
2024-01-01,Tienda_A,Producto_1,10,5,Norte
2024-01-01,Tienda_A,Producto_2,20,8,Norte
2024-01-01,Tienda_B,Producto_1,15,5,Sur
2024-01-01,Tienda_B,Producto_2,25,8,Sur
2024-01-02,Tienda_A,Producto_1,12,5,Norte
2024-01-02,Tienda_A,Producto_2,22,8,Norte
2024-01-02,Tienda_B,Producto_1,18,5,Sur
2024-01-02,Tienda_B,Producto_2,28,8,Sur
2024-01-03,Tienda_A,Producto_1,9,5,Norte
2024-01-03,Tienda_A,Producto_2,19,8,Norte
2024-01-03,Tienda_B,Producto_1,13,5,Sur
2024-01-03,Tienda_B,Producto_2,23,8,Sur
2024-01-04,,Producto_1,20,5,Sur
2024-01-04,Tienda_A,Producto_2,18,8,Norte
2024-01-04,Tienda_B,Producto_1,16,5,Sur
2024-01-04,Tienda_B,Producto_2,24,8,Sur
2024-01-05,Tienda_A,Producto_1,8,5,Norte
2024-01-05,Tienda_A,Producto_2,17,8,Norte
2024-01-05,Tienda_B,Producto_1,14,5,Sur
2024-01-05,Tienda_B,Producto_2,21,8,Sur
2024-01-06,Tienda_A,Producto_1,11,5,Norte
2024-01-06,Tienda_A,Producto_2,26,8,Norte
2024-01-06,Tienda_B,Producto_1,19,5,Sur
2024-01-06,Tienda_B,Producto_2,29,8,Sur
2024-01-07,Tienda_A,Producto_1,7,5,Norte
2024-01-07,Tienda_A,Producto_2,16,8,Norte
2024-01-07,Tienda_B,Producto_1,17,5,Sur
2024-01-07,Tienda_B,Producto_2,22,8,Sur
2024-01-08,Tienda_A,Producto_1,10,5,Norte
2024-01-08,Tienda_A,Producto_2,20,8,Norte
2024-01-08,Tienda_B,Producto_1,15,5,Sur
2024-01-08,Tienda_B,Producto_2,25,8,Sur
2024-01-09,Tienda_A,Producto_1,12,5,Norte
2024-01-09,Tienda_A,Producto_2,22,8,Norte
2024-01-09,Tienda_B,Producto_1,18,5,Sur
2024-01-09,Tienda_B,Producto_2,28,8,Sur
2024-01-10,Tienda_A,Producto_1,9,5,Norte
2024-01-10,Tienda_A,Producto_2,19,8,Norte
2024-01-10,Tienda_B,Producto_1,13,5,Sur
2024-01-10,Tienda_B,Producto_2,23,8,Sur
2024-01-11,Tienda_A,Producto_1,10,5,Norte
2024-01-11,Tienda_A,Producto_2,20,8,Norte
2024-01-11,Tienda_B,Producto_1,15,5,Sur
2024-01-11,Tienda_B,Producto_2,25,8,Sur
2024-01-12,Tienda_A,Producto_1,12,5,Norte
2024-01-12,Tienda_A,Producto_2,22,8,Norte
2024-01-12,Tienda_B,Producto_1,18,5,Sur
2024-01-12,Tienda_B,Producto_2,28,8,Sur
