fecha;maxima;minima;estacion
1/1/2021;21.9;7.2;AEROPARQUE AERO
1/1/2021;36.9;6.3;LAS LOMITAS
1/1/2021;39.1;0.3;RIO GRANDE
2/1/2021;25.6;8.4;AEROPARQUE AERO
2/1/2021;20.6;6.5;LAS LOMITAS
2/1/2021;24.3;15.6;RIO GRANDE
3/1/2021;28.4;18.3;AEROPARQUE AERO
3/1/2021;25.9;7.8;LAS LOMITAS
3/1/2021;21.4;0.9;RIO GRANDE
4/1/2021;26.2;15.5;AEROPARQUE AERO
4/1/2021;28.7;9.8;LAS LOMITAS
4/1/2021;22.1;11.0;RIO GRANDE
5/1/2021;35.5;1.7;AEROPARQUE AERO
5/1/2021;29.9;6.4;LAS LOMITAS
5/1/2021;26.4;12.5;RIO GRANDE
6/1/2021;20.5;2.7;AEROPARQUE AERO
6/1/2021;28.6;0.2;LAS LOMITAS
6/1/2021;24.4;7.3;RIO GRANDE
7/1/2021;31.3;0.8;AEROPARQUE AERO
7/1/2021;34.6;10.9;LAS LOMITAS
7/1/2021;20.2;17.3;RIO GRANDE
8/1/2021;35.7;10.2;AEROPARQUE AERO
8/1/2021;39.3;13.0;LAS LOMITAS
8/1/2021;22.5;16.1;RIO GRANDE
9/1/2021;35.1;12.6;AEROPARQUE AERO
9/1/2021;31.5;18.7;LAS LOMITAS
9/1/2021;25.6;5.6;RIO GRANDE
10/1/2021;36.8;15.8;AEROPARQUE AERO
10/1/2021;34.4;10.8;LAS LOMITAS
10/1/2021;28.1;4.3;RIO GRANDE
11/1/2021;35.0;6.4;AEROPARQUE AERO
11/1/2021;20.6;7.7;LAS LOMITAS
11/1/2021;32.5;10.4;RIO GRANDE
12/1/2021;32.6;8.2;AEROPARQUE AERO
12/1/2021;28.9;7.1;LAS LOMITAS
12/1/2021;39.0;4.2;RIO GRANDE
13/1/2021;33.1;17.2;AEROPARQUE AERO
13/1/2021;25.7;6.7;LAS LOMITAS
13/1/2021;38.3;3.3;RIO GRANDE
14/1/2021;34.0;0.8;AEROPARQUE AERO
14/1/2021;28.4;17.4;LAS LOMITAS
14/1/2021;22.6;16.6;RIO GRANDE
15/1/2021;32.2;5.7;AEROPARQUE AERO
15/1/2021;20.7;11.2;LAS LOMITAS
15/1/2021;31.7;5.0;RIO GRANDE
16/1/2021;30.9;0.5;AEROPARQUE AERO
16/1/2021;32.5;8.0;LAS LOMITAS
16/1/2021;21.3;10.0;RIO GRANDE
17/1/2021;26.6;13.6;AEROPARQUE AERO
17/1/2021;28.7;10.9;LAS LOMITAS
17/1/2021;34.9;18.3;RIO GRANDE
18/1/2021;39.9;14.5;AEROPARQUE AERO
18/1/2021;38.1;8.8;LAS LOMITAS
18/1/2021;21.4;15.8;RIO GRANDE
19/1/2021;33.8;5.2;AEROPARQUE AERO
19/1/2021;30.7;14.7;LAS LOMITAS
19/1/2021;34.1;3.0;RIO GRANDE
20/1/2021;22.5;17.6;AEROPARQUE AERO
20/1/2021;34.2;8.8;LAS LOMITAS
20/1/2021;33.8;18.9;RIO GRANDE
21/1/2021;24.5;2.6;AEROPARQUE AERO
21/1/2021;22.9;4.7;LAS LOMITAS
21/1/2021;21.9;11.0;RIO GRANDE
22/1/2021;23.8;14.8;AEROPARQUE AERO
22/1/2021;26.4;15.7;LAS LOMITAS
22/1/2021;33.1;15.3;RIO GRANDE
23/1/2021;34.4;14.2;AEROPARQUE AERO
23/1/2021;23.2;3.8;LAS LOMITAS
23/1/2021;36.9;16.3;RIO GRANDE
24/1/2021;26.0;7.4;AEROPARQUE AERO
24/1/2021;27.3;10.1;LAS LOMITAS
24/1/2021;37.9;11.8;RIO GRANDE
25/1/2021;37.4;2.6;AEROPARQUE AERO
25/1/2021;29.8;2.1;LAS LOMITAS
25/1/2021;37.0;5.5;RIO GRANDE
26/1/2021;34.6;6.3;AEROPARQUE AERO
26/1/2021;20.3;7.8;LAS LOMITAS
26/1/2021;28.6;10.6;RIO GRANDE
27/1/2021;34.0;8.0;AEROPARQUE AERO
27/1/2021;25.2;10.3;LAS LOMITAS
27/1/2021;20.7;13.3;RIO GRANDE
28/1/2021;22.4;0.2;AEROPARQUE AERO
28/1/2021;31.8;17.0;LAS LOMITAS
28/1/2021;30.4;9.5;RIO GRANDE
29/1/2021;22.8;5.8;AEROPARQUE AERO
29/1/2021;21.9;8.3;LAS LOMITAS
29/1/2021;24.3;10.0;RIO GRANDE
30/1/2021;27.8;9.6;AEROPARQUE AERO
30/1/2021;35.9;0.8;LAS LOMITAS
30/1/2021;39.3;0.5;RIO GRANDE
31/1/2021;38.5;3.8;AEROPARQUE AERO
31/1/2021;38.9;4.2;LAS LOMITAS
31/1/2021;38.8;16.2;RIO GRANDE
1/2/2021;29.2;15.5;AEROPARQUE AERO
1/2/2021;26.2;13.3;LAS LOMITAS
1/2/2021;21.1;13.1;RIO GRANDE
2/2/2021;31.3;11.2;AEROPARQUE AERO
2/2/2021;39.9;17.6;LAS LOMITAS
2/2/2021;32.6;16.8;RIO GRANDE
3/2/2021;30.2;8.3;AEROPARQUE AERO
3/2/2021;28.6;14.3;LAS LOMITAS
3/2/2021;31.5;2.2;RIO GRANDE
4/2/2021;24.0;8.7;AEROPARQUE AERO
4/2/2021;39.9;3.9;LAS LOMITAS
4/2/2021;39.8;4.6;RIO GRANDE
5/2/2021;37.3;10.1;AEROPARQUE AERO
5/2/2021;26.4;19.8;LAS LOMITAS
5/2/2021;25.5;14.1;RIO GRANDE
6/2/2021;24.2;14.3;AEROPARQUE AERO
6/2/2021;29.5;5.0;LAS LOMITAS
6/2/2021;20.6;8.7;RIO GRANDE
7/2/2021;21.7;11.8;AEROPARQUE AERO
7/2/2021;36.9;7.5;LAS LOMITAS
7/2/2021;29.0;7.9;RIO GRANDE
8/2/2021;23.4;8.7;AEROPARQUE AERO
8/2/2021;27.1;16.3;LAS LOMITAS
8/2/2021;37.6;4.2;RIO GRANDE
9/2/2021;24.0;18.8;AEROPARQUE AERO
9/2/2021;22.5;3.0;LAS LOMITAS
9/2/2021;35.4;17.6;RIO GRANDE
10/2/2021;29.5;13.8;AEROPARQUE AERO
10/2/2021;32.0;9.6;LAS LOMITAS
10/2/2021;25.4;5.0;RIO GRANDE
11/2/2021;39.3;9.5;AEROPARQUE AERO
11/2/2021;23.8;11.8;LAS LOMITAS
11/2/2021;24.4;11.3;RIO GRANDE
12/2/2021;36.5;3.8;AEROPARQUE AERO
12/2/2021;28.4;11.8;LAS LOMITAS
12/2/2021;35.1;9.5;RIO GRANDE
13/2/2021;31.9;15.8;AEROPARQUE AERO
13/2/2021;24.1;9.7;LAS LOMITAS
13/2/2021;20.6;6.6;RIO GRANDE
14/2/2021;38.5;0.4;AEROPARQUE AERO
14/2/2021;28.1;16.3;LAS LOMITAS
14/2/2021;23.3;12.9;RIO GRANDE
15/2/2021;33.1;8.7;AEROPARQUE AERO
15/2/2021;39.3;17.2;LAS LOMITAS
15/2/2021;21.9;16.8;RIO GRANDE
16/2/2021;26.5;0.7;AEROPARQUE AERO
16/2/2021;26.0;1.3;LAS LOMITAS
16/2/2021;21.4;10.9;RIO GRANDE
17/2/2021;25.2;18.2;AEROPARQUE AERO
17/2/2021;22.2;15.3;LAS LOMITAS
17/2/2021;35.4;0.3;RIO GRANDE
18/2/2021;34.6;10.3;AEROPARQUE AERO
18/2/2021;32.6;4.8;LAS LOMITAS
18/2/2021;33.0;1.3;RIO GRANDE
19/2/2021;34.2;4.9;AEROPARQUE AERO
19/2/2021;36.7;6.2;LAS LOMITAS
19/2/2021;27.5;17.1;RIO GRANDE
20/2/2021;29.6;14.7;AEROPARQUE AERO
20/2/2021;34.8;9.1;LAS LOMITAS
20/2/2021;33.4;5.7;RIO GRANDE
21/2/2021;29.7;2.9;AEROPARQUE AERO
21/2/2021;22.8;15.6;LAS LOMITAS
21/2/2021;31.2;19.5;RIO GRANDE
22/2/2021;37.3;14.2;AEROPARQUE AERO
22/2/2021;25.1;2.8;LAS LOMITAS
22/2/2021;35.3;14.3;RIO GRANDE
23/2/2021;32.5;18.6;AEROPARQUE AERO
23/2/2021;38.9;8.8;LAS LOMITAS
23/2/2021;37.1;4.9;RIO GRANDE
24/2/2021;27.6;0.5;AEROPARQUE AERO
24/2/2021;31.8;18.6;LAS LOMITAS
24/2/2021;21.2;16.4;RIO GRANDE
25/2/2021;21.3;4.3;AEROPARQUE AERO
25/2/2021;31.4;2.5;LAS LOMITAS
25/2/2021;32.8;14.7;RIO GRANDE
26/2/2021;25.0;4.0;AEROPARQUE AERO
26/2/2021;39.8;18.0;LAS LOMITAS
26/2/2021;26.5;8.9;RIO GRANDE
27/2/2021;38.1;4.5;AEROPARQUE AERO
27/2/2021;27.4;2.5;LAS LOMITAS
27/2/2021;38.9;6.7;RIO GRANDE
28/2/2021;21.4;15.3;AEROPARQUE AERO
28/2/2021;33.5;14.4;LAS LOMITAS
28/2/2021;29.4;17.3;RIO GRANDE
